2019-12-12 12:08:24+01:00,92
2019-12-12 12:54:51+01:00
2019-12-12 13:22:27+01:00,93,92
2019-12-12 13:24:48+01:00,92,94
2019-12-12 14:15:35+01:00,14,85,92,6
2019-12-12 14:23:59+01:00,70
2019-12-12 14:48:50+01:00,14,92
2019-12-13 16:10:46+01:00,56,6,14,85,22,92
2019-12-13 17:00:59+01:00,22,6,14,18
2019-12-13 17:25:54+01:00,20,22
2019-12-14 10:09:30+01:00,6
2019-12-14 12:15:38+01:00
2019-12-14 12:18:52+01:00,14,18
2019-12-14 12:23:41+01:00
2019-12-16 12:50:54+01:00,75,95,22,18,14,6
2019-12-16 13:26:22+01:00,92,18,6,58,95
2019-12-17 15:38:46+11:00,40
2019-12-17 10:26:41+01:00
2019-12-17 10:27:15+01:00,14
2019-12-17 10:46:27+01:00,42,40,46
2019-12-17 11:29:26+01:00,82,95,6,18,14
2019-12-17 11:48:17+01:00
2019-12-17 13:29:58+01:00,18,75,20,6
2019-12-17 13:41:10+01:00
2019-12-17 13:50:50+01:00,52
2019-12-17 14:01:42+01:00,40
2019-12-21 12:45:20+00:00,18,75
2019-12-21 14:11:29+00:00,75,18
2019-12-21 16:12:26+00:00,75
2019-12-22 10:30:57+01:00,75
2019-12-22 12:01:19+01:00,75
2019-12-22 12:25:15+01:00,75
2019-12-22 12:34:28+01:00
2019-12-22 21:41:24+01:00,14,22
2019-12-23 17:16:15+01:00
2019-12-24 11:38:55+01:00,95,22,52,14,18
2020-01-14 11:30:53+01:00,96,92
2020-01-14 11:51:20+01:00,97,92
2020-01-14 12:31:16+01:00
2020-01-14 17:54:30+01:00,98,92
2020-01-14 18:11:09+01:00,99,92,98
2020-01-15 10:08:26+01:00,92
2020-01-15 10:30:36+01:00,92
2020-01-15 15:38:34+01:00,58,107,93,104,100,25,106,102,103,101,105
2020-01-15 16:02:23+01:00,104,105,102
2020-01-15 17:09:56+01:00,40
2020-01-15 17:20:16+01:00,102,104,107,108,109
2020-01-15 17:40:01+01:00,106,107,25,93,109
2020-01-17 14:42:44+01:00,110,104,111,108
2020-01-17 16:01:30+01:00,104,109,112
2020-01-17 17:34:36+01:00,104,113,109
2020-01-17 18:44:29+01:00,114,104,115
2020-01-20 15:50:42+01:00,116,117,104
2020-01-20 16:22:32+01:00,118,119,104
2020-01-20 16:53:57+01:00,104
2020-01-20 17:04:01+01:00,105,116,118
2020-01-22 12:06:21+01:00,120,75
2020-01-23 13:10:39+01:00,117,93,106,109,115,107,111,119
2020-01-23 13:15:26+01:00
